bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
1016,R4-25-00-1_xfmr_55_primary,A,14519.7802,14232.2598,1,-1
1017,R4-25-00-1_xfmr_55_sending_1,1,121.2,118.8,1,-1
1018,R4-25-00-1_xfmr_55_sending_2,2,-118.8,-121.2,1,-1
1019,R4-25-00-1_xfmr_56_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
1020,R4-25-00-1_xfmr_56_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
1021,R4-25-00-1_xfmr_56_sending_2,2,60.6,59.4,105.9622914,101.8838302
1022,R4-25-00-1_xfmr_57_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1023,R4-25-00-1_xfmr_57_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1024,R4-25-00-1_xfmr_57_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1025,R4-25-00-1_xfmr_58_primary,A,14519.7802,14232.2598,1,-1
1026,R4-25-00-1_xfmr_58_sending_1,1,121.2,118.8,1,-1
1027,R4-25-00-1_xfmr_58_sending_2,2,-118.8,-121.2,1,-1
1028,R4-25-00-1_xfmr_59_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
1029,R4-25-00-1_xfmr_59_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
1030,R4-25-00-1_xfmr_59_sending_2,2,60.6,59.4,105.9622914,101.8838302
1031,R4-25-00-1_xfmr_60_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1032,R4-25-00-1_xfmr_60_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1033,R4-25-00-1_xfmr_60_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1034,R4-25-00-1_xfmr_61_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1035,R4-25-00-1_xfmr_61_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1036,R4-25-00-1_xfmr_61_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1037,R4-25-00-1_xfmr_62_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1038,R4-25-00-1_xfmr_62_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1039,R4-25-00-1_xfmr_62_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1040,R4-25-00-1_xfmr_63_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1041,R4-25-00-1_xfmr_63_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1042,R4-25-00-1_xfmr_63_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1043,R4-25-00-1_xfmr_64_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1044,R4-25-00-1_xfmr_64_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1045,R4-25-00-1_xfmr_64_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1046,R4-25-00-1_xfmr_65_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1047,R4-25-00-1_xfmr_65_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1048,R4-25-00-1_xfmr_65_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1049,R4-25-00-1_xfmr_66_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1050,R4-25-00-1_xfmr_66_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1051,R4-25-00-1_xfmr_66_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1052,R4-25-00-1_xfmr_67_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1053,R4-25-00-1_xfmr_67_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1054,R4-25-00-1_xfmr_67_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1055,R4-25-00-1_xfmr_68_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
